,School Name,Full Address,Street Address,City,State,Zip Code,Country,School Type,Website,Description
0,Bethany Christian Academy,"1765 Highland Ave, Montgomery, AL, 36107-2657, USA",1765 Highland Ave,Montgomery,AL,36107-2657,USA,PK-08,https://www.adventisteducation.org/schools/ANTP25,"Bethany Christian Academy is a Christ-centered private school, where students receive a wholistic education which prepares them for college and life."
1,Bethany SDA Child Development Center,"714 Cedar St, Montgomery, AL, 36106-1002, USA",714 Cedar St,Montgomery,AL,36106-1002,USA,ECP,https://www.adventisteducation.org/schools/ANTP27,[]
2,Big Cove Christian Academy,"6354 Highway 431 S, Owens Cross Roads, AL, 35763-9210, USA",6354 Highway 431 S,Owens Cross Roads,AL,35763-9210,USA,PK-08,https://www.adventisteducation.org/schools/ANTG16,[]
3,Ephesus Academy Child Development Center,"829 McMillon Ave SW, Birmingham, AL, 35211-1730, USA",829 McMillon Ave SW,Birmingham,AL,35211-1730,USA,ECP,https://www.adventisteducation.org/schools/ANTP2A,[]
4,Ephesus Junior Academy,"829 McMillon Ave SW, Birmingham, AL, 35211-1730, USA",829 McMillon Ave SW,Birmingham,AL,35211-1730,USA,PK-10,https://www.adventisteducation.org/schools/ANTP45,[]
5,Floral Crest School,"1228 County Road 89, Bryant, AL, 35958-5332, USA",1228 County Road 89,Bryant,AL,35958-5332,USA,PK-08,https://www.adventisteducation.org/schools/ANTG36,[]
6,Hoover Christian School,"2113 Old Rocky Ridge Rd, Hoover, AL, 35216-6101, USA",2113 Old Rocky Ridge Rd,Hoover,AL,35216-6101,USA,PK-10,https://www.adventisteducation.org/schools/ANTG20,"Hoover Christian School, a Seventh-day Adventist Christian school, is dedicated to nurturing a personal relationship with Jesus,  teaching students to be Bible ""Daniels"" in a secular world, developing academic excellence, and promoting service to others."
7,Mobile Junior Academy,"1900 Cody Rd S, Mobile, AL, 36695-3007, USA",1900 Cody Rd S,Mobile,AL,36695-3007,USA,PK-08,https://www.adventisteducation.org/schools/ANTG52,[]
8,New Life Early Learning Center,"3912 Pulaski Pike NW # B, Huntsville, AL, 35810-2659, USA",3912 Pulaski Pike NW # B,Huntsville,AL,35810-2659,USA,ECP,https://www.adventisteducation.org/schools/ANTP2F,[]
9,Oakwood Adventist Academy,"7000 Adventist Blvd, Huntsville, AL, 35896-0001, USA",7000 Adventist Blvd,Huntsville,AL,35896-0001,USA,PK-12,https://www.adventisteducation.org/schools/ANTP31,"Oakwood Adventist Academy is a Seventh-day Adventist co-educational K-12 day school located on the historic campus of Oakwood University in Huntsville, AL."
