School Name,Full Address,Street Address,Street Number,Street,City,County,State/Province,Zip (5-digit),Zip (full),Country,School Type,Website,Description,Latitude,Longitude,Preschool,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,University/College
Bethany Christian Academy,"1765 Highland Ave, Montgomery, AL, 36107-2657, USA",1765 Highland Ave,1765,Highland Ave,Montgomery,Montgomery County,AL,36107,36107-2657,USA,PK-08,https://www.adventisteducation.org/schools/ANTP25,"Bethany Christian Academy is a Christ-centered private school, where students receive a wholistic education which prepares them for college and life.",32.37256,-86.284475,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bethany SDA Child Development Center,"714 Cedar St, Montgomery, AL, 36106-1002, USA",714 Cedar St,714,Cedar St,Montgomery,Montgomery County,AL,36106,36106-1002,USA,ECP,https://www.adventisteducation.org/schools/ANTP27,,32.371569,-86.289672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Cove Christian Academy,"6354 Highway 431 S, Owens Cross Roads, AL, 35763-9210, USA",6354 Highway 431 S,6354,US-431,Owens Cross Roads,Madison County,AL,35763,35763-9210,USA,PK-08,https://www.adventisteducation.org/schools/ANTG16,,34.667724,-86.488204,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Ephesus Academy Child Development Center,"829 McMillon Ave SW, Birmingham, AL, 35211-1730, USA",829 McMillon Ave SW,829,McMillon Ave SW,Birmingham,Jefferson County,AL,35211,35211-1730,USA,ECP,https://www.adventisteducation.org/schools/ANTP2A,,33.494778,-86.844501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephesus Junior Academy,"829 McMillon Ave SW, Birmingham, AL, 35211-1730, USA",829 McMillon Ave SW,829,McMillon Ave SW,Birmingham,Jefferson County,AL,35211,35211-1730,USA,PK-10,https://www.adventisteducation.org/schools/ANTP45,,33.494778,-86.844501,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Floral Crest School,"1228 County Road 89, Bryant, AL, 35958-5332, USA",1228 County Road 89,1228,County Rd 89,Bryant,Jackson County,AL,35958,35958-5332,USA,PK-08,https://www.adventisteducation.org/schools/ANTG36,,34.876547,-85.588078,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Hoover Christian School,"2113 Old Rocky Ridge Rd, Hoover, AL, 35216-6101, USA",2113 Old Rocky Ridge Rd,2113,Old Rocky Ridge Rd,Hoover,Jefferson County,AL,35216,35216-6101,USA,PK-10,https://www.adventisteducation.org/schools/ANTG20,"Hoover Christian School, a Seventh-day Adventist Christian school, is dedicated to nurturing a personal relationship with Jesus,  teaching students to be Bible ""Daniels"" in a secular world, developing academic excellence, and promoting service to others.",33.387748,-86.794638,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Mobile Junior Academy,"1900 Cody Rd S, Mobile, AL, 36695-3007, USA",1900 Cody Rd S,1900,Cody Rd S,Mobile,Mobile County,AL,36695,36695-3007,USA,PK-08,https://www.adventisteducation.org/schools/ANTG52,,30.651183,-88.20852,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
New Life Early Learning Center,"3912 Pulaski Pike NW # B, Huntsville, AL, 35810-2659, USA",3912 Pulaski Pike NW # B,3912,Pulaski Pike NW,Huntsville,Madison County,AL,35810,35810-2659,USA,ECP,https://www.adventisteducation.org/schools/ANTP2F,,34.777152,-86.616459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oakwood Adventist Academy,"7000 Adventist Blvd, Huntsville, AL, 35896-0001, USA",7000 Adventist Blvd,7000,Adventist Blvd NW,Huntsville,Madison County,AL,35896,35896-0001,USA,PK-12,https://www.adventisteducation.org/schools/ANTP31,"Oakwood Adventist Academy is a Seventh-day Adventist co-educational K-12 day school located on the historic campus of Oakwood University in Huntsville, AL.",34.751997,-86.648196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Oakwood University,"7000 Adventist Blvd NW, Huntsville, AL, 35896-0001, USA",7000 Adventist Blvd NW,7000,Adventist Blvd NW,Huntsville,Madison County,AL,35896,35896-0001,USA,University,https://www.adventisteducation.org/schools/AN11OA,,34.751997,-86.648196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oakwood University Child Development Lab,"7000 Adventist Blvd, Huntsville, AL, 35896-0001, USA",7000 Adventist Blvd,7000,Adventist Blvd NW,Huntsville,Madison County,AL,35896,35896-0001,USA,ECP,https://www.adventisteducation.org/schools/ANTP2G,,34.751997,-86.648196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazing Grace Academy,"2238 S Inner Springer Loop, Palmer, AK, 99645, USA",2238 S Inner Springer Loop,2238,S S Inner Springer Loop Loop,Palmer,Matanuska-Susitna Borough,AK,99645,99645,USA,PK-12,https://www.adventisteducation.org/schools/ANI465,"Amazing Grace Academy is a Seventh-day Adventist school committed to nurturing students to develop personal relationships with God, academic excellence, and strong relationships through service.",61.571161,-149.146783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Anchorage Junior Academy,"5511 Omalley Rd, Anchorage, AK, 99507-6856, USA",5511 Omalley Rd,5511,O'malley Rd,Anchorage,Anchorage Municipality,AK,99507,99507-6856,USA,PK-08,https://www.adventisteducation.org/schools/ANI415,AJA exists to introduce each student to Jesus Christ. Our desire is to develop this relationship so that each student will love their Creator and choose to spend eternity with Him.,61.123314,-149.779833,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Dillingham Adventist School,"446 Windmill Hill Rd, Dillingham, AK, 99576, USA",446 Windmill Hill Rd,446,Windmill Hill Rd,Dillingham,Dillingham Census Area,AK,99576,99576,USA,PK-08,https://www.adventisteducation.org/schools/ANI435,,59.043279,-158.491439,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Golden Heart Christian School,"1809 Farmers Loop Rd, Fairbanks, AK, 99709-6553, USA",1809 Farmers Loop Rd,1809,Farmers Loop Rd,Fairbanks,Fairbanks North Star Borough,AK,99709,99709-6553,USA,PK-08,https://www.adventisteducation.org/schools/ANI440,,64.874085,-147.822033,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Juneau Adventist Christian School,"4890 Glacier Hwy, Juneau, AK, 99801-9512, USA",4890 Glacier Hwy,4890,Glacier Hwy,Juneau,Juneau City And Borough,AK,99801,99801-9512,USA,PK-08,https://www.adventisteducation.org/schools/ANI445,,58.347495,-134.491868,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Sitka Adventist School,"1613 Halibut Point Rd, Sitka, AK, 99835-7010, USA",1613 Halibut Point Rd,1613,Halibut Point Rd,Sitka,Sitka City And Borough,AK,99835,99835-7010,USA,PK-08,https://www.adventisteducation.org/schools/ANI480,,57.065141,-135.363548,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Adobe Adventist Christian School,"9910 E Adobe Rd, Mesa, AZ, 85207-5319, USA",9910 E Adobe Rd,9910,E Adobe Rd,Mesa,Maricopa County,AZ,85207,85207-5319,USA,K-08,https://www.adventisteducation.org/schools/ANP430,Adobe Adventist Christian School is dedicated to providing families with a Christ centered education based on a Biblical foundation.,33.430012,-111.617015,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Cochise SDA Christian School,"1462 S Naco Hwy, Bisbee, AZ, 85603, USA",1462 S Naco Hwy,1462,S Naco Hwy,Bisbee,Cochise County,AZ,85603,85603,USA,K-08,https://www.adventisteducation.org/schools/ANP4BI,,31.392561,-109.919552,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Glenview Adventist  Academy,"6801 N 43rd Ave, Phoenix, AZ, 85019-1008, USA",6801 N 43rd Ave,6801,N 43rd Ave,Phoenix,Maricopa County,AZ,85019,85019-1008,USA,K-08,https://www.adventisteducation.org/schools/ANP440,,33.536804,-112.15113,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Holbrook SDA Indian School,"2001 McLaws Rd, Holbrook, AZ, 86025-3223, USA",2001 McLaws Rd,2001,McLaws Rd,Holbrook,Navajo County,AZ,86025,86025-3223,USA,PK-12,https://www.adventisteducation.org/schools/ANP145,Holbrook Indian School provides a safe place for Native American students to learn and grow in the Creator while preserving and celebrating their Native culture.,34.883095,-110.192321,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Maricopa Village Christian School,"8001 W Baseline Rd, Laveen, AZ, 85339-9311, USA",8001 W Baseline Rd,8001,W Baseline Rd,Laveen,Maricopa County,AZ,85339,85339-9311,USA,PK-08,https://www.adventisteducation.org/schools/ANP4MB,,33.377168,-112.228741,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Prescott Adventist Christian School,"2980 Willow Creek Rd, Prescott, AZ, 86301-4179, USA",2980 Willow Creek Rd,2980,Willow Creek Rd,Prescott,Yavapai County,AZ,86301,86301-4179,USA,K-08,https://www.adventisteducation.org/schools/ANP460,"We are a Seventh-day Adventist school located in Prescott, Arizona. Our staff is committed to providing quality education in a Christ-filled environment.",34.593042,-112.470692,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Saguaro Hills Adventist Christian School,"4280 W Irvington Rd, Tucson, AZ, 85746-9529, USA",4280 W Irvington Rd,4280,W Irvington Rd,Tucson,Pima County,AZ,85746,85746-9529,USA,K-08,https://www.adventisteducation.org/schools/ANP4SS,Saguaro Hills is a safe SDA Christian K-8 school. We are a small 3 room school on 23 acres of desert landscape.,32.16349,-111.056144,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Thunderbird Adventist Academy,"7410 E Sutton Dr, Scottsdale, AZ, 85260-3915, USA",7410 E Sutton Dr,7410,E Sutton Dr,Scottsdale,Maricopa County,AZ,85260,85260-3915,USA,09-12,https://www.adventisteducation.org/schools/ANP43Q,"Our mission is for each of our students to EXCEL: to EXperience Jesus, to Communicate clearly and think critically, to Embrace service and citizenship, and to Live healthfully in body and mind.",33.608431,-111.920906,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Thunderbird Christian Elementary,"7440 E Sutton Dr, Scottsdale, AZ, 85260-3915, USA",7440 E Sutton Dr,7440,E Sutton Dr,Scottsdale,Maricopa County,AZ,85260,85260-3915,USA,K-08,https://www.adventisteducation.org/schools/ANP415,We are an Adventist educational institution that is committed to excellence in all we do. We encourage our students to be motivated thinkers and lifelong learners. It is vital that we meet the students where they are and encourage hem to teach their potential. We strive to provide a well-rounded education including hands on experimental learning through STEM activities and enrichment programs. We strive to show our students how to be like Christ by using their knowledge and talents to serve others.,33.608856,-111.919189,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
